Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,-0.16434982,0.0011041588,0.27174622,0,1.0,0.042839732486754656,1
1,0.027829178,-0.3594875,0.006539083,0.5647772,0,1.0,-0.5434924270957708,2
1,0.020639427,-0.1644579,0.017834626,0.27416152,1,1.0,-1.1295543052256107,3
1,0.01735027,0.030405097,0.023317857,-0.012843397,1,1.0,-0.5483230575919151,4
1,0.017958371,0.225185,0.023060989,-0.298079,1,1.0,0.025686807930469513,5
1,0.022462072,0.41997078,0.017099408,-0.58340067,1,1.0,0.5961580201983452,6
1,0.030861488,0.2246135,0.005431396,-0.28538057,0,1.0,1.1668012477457523,7
1,0.035353757,0.029414505,-0.0002762155,0.009010408,0,1.0,0.515518058091402,8
1,0.035942048,-0.16570349,-9.6007316e-05,0.30160618,0,1.0,0.018020818242803216,9
1,0.032627977,0.029419836,0.005936116,0.008892969,1,1.0,-0.584010872989893,10
1,0.033216372,-0.16578674,0.0061139753,0.3034429,0,1.0,-0.0177859328687191,11
1,0.029900638,0.029247543,0.012182834,0.012694422,1,1.0,-0.6068858318030834,12
1,0.030485589,-0.16604699,0.0124367215,0.30919614,0,1.0,-0.02538878470659256,13
1,0.027164651,-0.36134392,0.018620644,0.6057752,0,1.0,-0.6183922290802002,14
1,0.019937772,-0.5567212,0.030736148,0.9042645,0,1.0,-1.211550459265709,15
1,0.008803347,-0.75224566,0.048821438,1.2064476,0,1.0,-1.8085289746522903,16
1,-0.006241566,-0.9479633,0.07295039,1.514022,0,1.0,-2.4128954857587814,17
1,-0.02520083,-0.7537963,0.103230834,1.2449746,1,1.0,-3.028044104576111,18
1,-0.04027676,-0.9500799,0.12813033,1.5681286,0,1.0,-2.4899497628211975,19
1,-0.059278358,-0.7567,0.1594929,1.3180039,1,1.0,-3.1362563371658325,20
1,-0.07441235,-0.56391346,0.18585297,1.0791867,1,1.0,-2.6360079646110535,21
1,-0.085690625,-0.76093763,0.20743671,1.4239603,0,1.0,-2.1583735942840576,22
1,-0.100909375,-0.9579311,0.23591591,1.7736658,0,1.0,-2.8479203581809998,23
2,0.031116175,-0.16434982,0.0011041588,0.27174622,0,1.0,0.042839732486754656,1
2,0.027829178,-0.3594875,0.006539083,0.5647772,0,1.0,-0.5434924270957708,2
2,0.020639427,-0.5547006,0.017834626,0.85951304,0,1.0,-1.1295543052256107,3
2,0.009545416,-0.75006086,0.03502489,1.1577499,0,1.0,-1.719026267528534,4
2,-0.0054558017,-0.5554125,0.058179885,0.87625164,1,1.0,-2.315499633550644,5
2,-0.01656405,-0.75127494,0.07570492,1.1866435,0,1.0,-1.752503216266632,6
2,-0.03158955,-0.9472925,0.09943779,1.5020636,0,1.0,-2.373287081718445,7
2,-0.0505354,-0.75350845,0.12947907,1.2420101,1,1.0,-3.0041277408599854,8
2,-0.065605566,-0.56026417,0.15431926,0.9925306,1,1.0,-2.484019100666046,9
2,-0.07681085,-0.7570764,0.17416987,1.3294306,0,0.999,-1.9850611686706543,10
2,-0.091952376,-0.5645263,0.20075849,1.0959227,1,0.998001,-2.6588618755340576,11
2,-0.103242904,-0.3725318,0.22267693,0.87234235,1,0.997002999,-2.1918445825576782,12
3,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.997002999,0.042839732486754656,1
3,0.035634056,0.4210002,-0.005168218,-0.60595334,1,0.996005996001,-0.40640593506395817,2
3,0.044054057,0.61619407,-0.017287286,-0.9002597,1,0.995009990004999,-1.2119067832827568,3
3,0.05637794,0.42131057,-0.03529248,-0.6130603,0,0.994014980014994,-1.8005194142460823,4
3,0.06480415,0.22669914,-0.047553685,-0.33169878,0,0.993020965034979,-1.2261204421520233,5
3,0.069338135,0.42246458,-0.05418766,-0.6389905,1,0.9920279440699441,-0.6633974611759186,6
3,0.07778743,0.22813837,-0.06696747,-0.3638524,0,0.9910359161258742,-1.2779813259840012,7
3,0.082350194,0.03402893,-0.07424452,-0.093014605,0,0.9900448802097482,-0.7277049124240875,8
3,0.083030775,0.23013216,-0.07610481,-0.40816694,1,0.9890548353295385,-0.1860290765762329,9
3,0.087633416,0.42624605,-0.08426815,-0.7238395,1,0.988065780494209,-0.8163340389728546,10
3,0.09615833,0.6224261,-0.098744944,-1.0418109,1,0.9870777147137147,-1.4476791024208069,11
3,0.10860686,0.81871104,-0.119581155,-1.3637879,1,0.986090636999001,-2.083621174097061,12
3,0.12498108,1.0151106,-0.14685692,-1.6913567,1,0.9851045463620021,-2.727576345205307,13
3,0.1452833,0.82195896,-0.18068404,-1.4477686,0,0.98411944181564,-3.3827126026153564,14
3,0.16172247,0.6294596,-0.20963942,-1.2165527,0,0.9831353223738244,-2.89553701877594,15
4,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.9831353223738244,0.042839732486754656,1
4,0.035634056,0.030756354,-0.005168218,-0.020587917,0,0.9821521870514506,-0.40640593506395817,2
4,0.036249183,0.22595204,-0.0055799764,-0.31489697,1,0.9811700348643991,-0.04117581993341446,3
4,0.04076822,0.42115304,-0.011877917,-0.6093344,1,0.9801888648295347,-0.6297940388321877,4
4,0.04919128,0.616439,-0.024064604,-0.9057347,1,0.9792086759647052,-1.21866874396801,5
4,0.061520062,0.8118784,-0.042179298,-1.2058833,1,0.9782294672887405,-1.8114693462848663,6
4,0.077757634,1.0075192,-0.066296965,-1.5114806,1,0.9772512378214517,-2.4117667227983475,7
4,0.09790801,0.8132601,-0.09652658,-1.240209,0,0.9762739865836303,-3.0229613184928894,8
4,0.11417322,1.0094798,-0.12133075,-1.5615032,1,0.9752977125970467,-2.480417490005493,9
4,0.13436282,0.81600034,-0.15256082,-1.3090013,0,0.9743224148844496,-3.123006224632263,10
4,0.15068282,0.62310445,-0.17874084,-1.0676973,0,0.9733480924695651,-2.6180028915405273,11
4,0.1631449,0.43073884,-0.20009479,-0.83601636,0,0.9723747443770956,-2.135394513607025,12
4,0.17175968,0.23882978,-0.21681511,-0.6123324,0,0.9714023696327185,-1.6720324754714966,13
5,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9714023696327185,0.042839732486754656,1
5,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.9704309672630859,-0.5434924270957708,2
5,0.020639427,-0.5547006,0.017834626,0.85951304,0,0.9694605362958227,-1.1295543052256107,3
5,0.009545416,-0.35982603,0.03502489,0.5724908,1,0.9684910757595269,-1.719026267528534,4
5,0.002348895,-0.5554211,0.046474703,0.87599874,0,0.9675225846837673,-1.1449813842773438,5
