Episode Number,Car x Coordinates,Car y Coordinates,Action,Exploration Rate,Reward,Score
1,70.23596954345703,-17.435653686523438,4,1.0,6.151612903225807,6.151612903225807
1,70.22856140136719,-17.382953643798828,0,1.0,-0.29999999999999893,5.851612903225808
1,70.2147216796875,-17.284421920776367,4,1.0,-0.29999999999999893,5.551612903225809
1,70.21424865722656,-17.280902862548828,3,1.0,-0.29999999999999893,5.25161290322581
1,70.21416473388672,-17.279937744140625,4,1.0,2.925806451612903,8.177419354838714
1,70.21416473388672,-17.279935836791992,4,1.0,-0.29999999999999893,7.877419354838715
1,70.21416473388672,-17.279935836791992,1,1.0,-0.29999999999999893,7.577419354838716
1,70.2067642211914,-17.227235794067383,0,1.0,-0.29999999999999893,7.277419354838717
1,70.1863784790039,-17.081375122070312,3,1.0,-0.29999999999999893,6.977419354838718
1,70.16764068603516,-16.93455696105957,2,1.0,-0.29999999999999893,6.677419354838719
1,70.14741516113281,-16.787912368774414,1,1.0,-0.29999999999999893,6.37741935483872
1,70.13469696044922,-16.70402717590332,4,1.0,-0.29999999999999893,6.077419354838721
1,70.12718963623047,-16.6501407623291,0,1.0,-0.29999999999999893,5.777419354838722
1,70.10664367675781,-16.5037841796875,1,1.0,-0.29999999999999893,5.477419354838723
1,70.08421325683594,-16.35696792602539,3,1.0,-0.29999999999999893,5.177419354838724
1,70.06245422363281,-16.210020065307617,1,1.0,2.925806451612903,8.103225806451627
1,70.04933166503906,-16.126005172729492,4,1.0,-0.29999999999999893,7.803225806451628
1,70.04917907714844,-16.12495994567871,4,1.0,-0.29999999999999893,7.5032258064516295
1,70.04917907714844,-16.124958038330078,4,1.0,-0.29999999999999893,7.203225806451631
1,70.04917907714844,-16.124958038330078,3,1.0,-0.29999999999999893,6.903225806451632
1,70.04917907714844,-16.124958038330078,2,1.0,-0.29999999999999893,6.603225806451633
1,70.0416030883789,-16.072284698486328,0,1.0,-0.29999999999999893,6.303225806451634
1,70.02061462402344,-15.926493644714355,2,1.0,-0.29999999999999893,6.003225806451635
1,69.99979400634766,-15.779793739318848,3,1.0,-0.29999999999999893,5.703225806451636
1,69.98787689208984,-15.69126033782959,4,1.0,-0.29999999999999893,5.403225806451637
1,69.98754119873047,-15.688897132873535,2,1.0,-0.29999999999999893,5.103225806451638
1,69.9874496459961,-15.688251495361328,4,1.0,-0.29999999999999893,4.803225806451639
1,69.9874496459961,-15.688250541687012,2,1.0,-0.29999999999999893,4.50322580645164
1,69.9874496459961,-15.688250541687012,4,1.0,-0.29999999999999893,4.203225806451641
1,69.9874496459961,-15.688250541687012,1,1.0,-0.2999999999999994,3.903225806451642
1,69.9874496459961,-15.688250541687012,4,1.0,-0.30000000000000027,3.6032258064516416
1,69.97992706298828,-15.635568618774414,0,1.0,-0.30000000000000027,3.3032258064516413
1,69.95294189453125,-15.446629524230957,0,0.9995,-0.30000000000000027,3.003225806451641
1,69.92131805419922,-15.225154876708984,4,0.9990002500000001,-0.30000000000000027,2.703225806451641
1,69.90415954589844,-15.105842590332031,1,0.9985007498750001,2.9258064516129036,5.629032258064544
1,69.88566589355469,-14.987902641296387,3,0.9980014995000627,-0.29999999999999893,5.3290322580645455
1,69.87628173828125,-14.925742149353027,4,0.9975024987503127,-0.29999999999999893,5.029032258064547
1,69.87622833251953,-14.925374031066895,4,0.9970037475009376,-0.29999999999999893,4.729032258064548
1,69.87622833251953,-14.925374031066895,2,0.9965052456271871,-0.29999999999999893,4.429032258064549
1,69.87622833251953,-14.925374031066895,3,0.9960069930043736,-0.29999999999999893,4.12903225806455
1,69.87622833251953,-14.925374031066895,4,0.9955089895078715,-0.2999999999999998,3.82903225806455
1,69.87622833251953,-14.925374031066895,1,0.9950112350131176,-0.30000000000000027,3.5290322580645497
1,69.87622833251953,-14.925374031066895,3,0.9945137293956111,-0.30000000000000027,3.2290322580645494
1,69.87622833251953,-14.925374031066895,2,0.9940164725309134,-0.30000000000000027,2.929032258064549
1,69.87622833251953,-14.925374031066895,2,0.993519464294648,-0.30000000000000027,2.629032258064549
1,69.87622833251953,-14.925374031066895,3,0.9930227045625007,-0.30000000000000027,2.3290322580645486
1,69.87622833251953,-14.925374031066895,2,0.9925261932102195,-0.30000000000000027,2.0290322580645483
1,69.87622833251953,-14.925374031066895,4,0.9920299301136144,-0.30000000000000027,1.729032258064548
1,69.87622833251953,-14.925374031066895,1,0.9915339151485576,-0.30000000000000027,1.4290322580645478
1,69.87622833251953,-14.925374031066895,2,0.9910381481909833,-0.30000000000000027,1.1290322580645475
1,69.87622833251953,-14.925374031066895,2,0.990542629116888,-0.30000000000000004,0.8290322580645475
1,69.87622833251953,-14.925374031066895,1,0.9900473578023296,-0.29999999999999993,0.5290322580645476
1,69.86859130859375,-14.872710227966309,0,0.9895523341234285,-0.29999999999999993,0.22903225806454763
1,69.84728240966797,-14.726983070373535,1,0.9890575579563669,-0.30000000000000004,-0.07096774193545241
2,70.23596954345703,-17.435653686523438,1,0.9890575579563669,6.151612903225807,6.151612903225807
2,70.23596954345703,-17.435653686523438,2,0.9885630291773887,-0.29999999999999893,5.851612903225808
2,70.23596954345703,-17.435653686523438,3,0.9880687476628001,-0.29999999999999893,5.551612903225809
2,70.23596954345703,-17.435653686523438,4,0.9875747132889687,-0.29999999999999893,5.25161290322581
2,70.23596954345703,-17.435653686523438,2,0.9870809259323243,-0.29999999999999893,4.951612903225811
2,70.23596954345703,-17.435653686523438,1,0.9865873854693582,-0.29999999999999893,4.6516129032258124
2,70.23596954345703,-17.435653686523438,3,0.9860940917766235,-0.29999999999999893,4.3516129032258135
2,70.23596954345703,-17.435653686523438,3,0.9856010447307353,-0.29999999999999893,4.051612903225815
2,70.22856140136719,-17.382957458496094,0,0.98510824420837,-0.30000000000000027,3.7516129032258143
2,70.20797729492188,-17.237125396728516,1,0.9846156900862658,2.9258064516129028,6.677419354838717
2,70.19440460205078,-17.143651962280273,4,0.9841233822412228,-0.29999999999999893,6.377419354838718
2,70.19397735595703,-17.140756607055664,1,0.9836313205501022,-0.29999999999999893,6.077419354838719
2,70.19354248046875,-17.13865089416504,2,0.9831395048898272,-0.29999999999999893,5.77741935483872
2,70.19319915771484,-17.136524200439453,1,0.9826479351373822,-0.29999999999999893,5.477419354838721
2,70.19304656982422,-17.135740280151367,4,0.9821566111698136,-0.29999999999999893,5.177419354838722
2,70.19304656982422,-17.135740280151367,2,0.9816655328642288,-0.29999999999999893,4.8774193548387235
2,70.19304656982422,-17.135740280151367,3,0.9811747000977967,-0.29999999999999893,4.5774193548387245
2,70.19304656982422,-17.135740280151367,2,0.9806841127477479,-0.29999999999999893,4.277419354838726
2,70.19304656982422,-17.135740280151367,3,0.9801937706913741,-0.2999999999999994,3.977419354838726
2,70.18560028076172,-17.083045959472656,0,0.9797036738060285,-0.30000000000000027,3.677419354838726
2,70.16514587402344,-16.93719482421875,3,0.9792138219691255,-0.30000000000000027,3.3774193548387257
2,70.14421844482422,-16.77568244934082,0,0.978724215058141,-0.30000000000000027,3.0774193548387254
2,70.11543273925781,-16.565143585205078,2,0.978234852950612,-0.30000000000000027,2.777419354838725
2,70.08453369140625,-16.342281341552734,0,0.9777457355241367,-0.30000000000000027,2.477419354838725
2,70.05815124511719,-16.15187644958496,4,0.9772568626563747,2.925806451612903,5.403225806451628
2,70.04773712158203,-16.07607650756836,3,0.9767682342250465,-0.29999999999999893,5.103225806451629
2,70.03844451904297,-16.00123405456543,1,0.976279850107934,-0.29999999999999893,4.80322580645163
2,70.02821350097656,-15.926494598388672,1,0.9757917101828801,-0.29999999999999893,4.503225806451631
2,70.0158920288086,-15.85219955444336,3,0.9753038143277888,-0.29999999999999893,4.203225806451632
2,70.00540161132812,-15.777555465698242,3,0.974816162420625,-0.2999999999999994,3.903225806451633
2,69.99787902832031,-15.702702522277832,1,0.9743287543394147,-0.30000000000000027,3.6032258064516327
2,69.984619140625,-15.601221084594727,0,0.973841589962245,-0.30000000000000027,3.3032258064516324
2,69.95513916015625,-15.383994102478027,0,0.973354669167264,-0.30000000000000027,3.003225806451632
2,69.91043853759766,-15.054387092590332,0,0.9728679918326804,3.510967741935485,6.514193548387118
2,69.8584976196289,-14.671302795410156,2,0.972381557836764,-0.29999999999999893,6.214193548387119
2,69.80122375488281,-14.248589515686035,2,0.9718953670578457,-0.29999999999999893,5.91419354838712
2,69.74274444580078,-13.803516387939453,3,0.9714094193743169,2.925806451612903,8.840000000000023
2,69.70523071289062,-13.357547760009766,3,0.9709237146646298,-0.29999999999999893,8.540000000000024
2,69.70098876953125,-12.90674877166748,0,0.9704382528072976,3.5109677419354837,12.050967741935509
2,69.69984436035156,-12.428058624267578,1,0.9699530336808939,-0.29999999999999893,11.75096774193551
2,69.68668365478516,-11.94771671295166,2,0.9694680571640535,2.925806451612903,14.676774193548413
2,69.67508697509766,-11.467331886291504,3,0.9689833231354715,-0.29999999999999893,14.376774193548414
2,69.6918716430664,-10.980772018432617,0,0.9684988314739038,3.5109677419354837,17.8877419354839
2,69.70092010498047,-10.4436616897583,0,0.9680145820581669,-0.3000000000000007,17.587741935483898
2,69.70750427246094,-9.93925666809082,4,0.9675305747671379,2.925806451612903,20.5135483870968
2,69.7126235961914,-9.61221694946289,0,0.9670468094797544,-0.30000000000000426,20.213548387096797
2,69.71924591064453,-9.254583358764648,2,0.9665632860750146,-0.30000000000000426,19.913548387096792
2,69.72496032714844,-8.896577835083008,1,0.9660800044319772,2.9258064516128997,22.839354838709692
2,69.71595001220703,-8.539447784423828,3,0.9655969644297613,-0.30000000000000426,22.539354838709688
2,69.7150650024414,-8.172367095947266,0,0.9651141659475465,-0.30000000000000426,22.239354838709684
2,69.71954345703125,-7.77254581451416,3,0.9646316088645728,2.9258064516128997,25.165161290322583
2,69.74932098388672,-7.375054836273193,3,0.9641492930601405,-0.30000000000000426,24.86516129032258
2,69.81956481933594,-6.987860679626465,3,0.9636672184136105,-0.30000000000000426,24.565161290322575
2,69.92498016357422,-6.612257480621338,2,0.9631853848044037,2.9258064516128997,27.490967741935474
2,70.05619049072266,-6.24546480178833,3,0.9627037921120016,-0.30000000000000426,27.19096774193547
2,70.1768798828125,-5.969760417938232,4,0.9622224402159457,-0.30000000000000426,26.890967741935466
2,70.22765350341797,-5.840421676635742,0,0.9617413289958378,-0.30000000000000426,26.59096774193546
2,70.30795288085938,-5.615400791168213,0,0.9612604583313399,3.5109677419354797,30.101935483870943
2,70.4125747680664,-5.3068952560424805,1,0.9607798281021742,-0.30000000000000426,29.80193548387094
2,70.51253509521484,-4.987252712249756,0,0.9602994381881231,-0.30000000000000426,29.501935483870934
2,70.62648010253906,-4.639700412750244,1,0.9598192884690291,-0.30000000000000426,29.20193548387093
2,70.73056030273438,-4.289405345916748,3,0.9593393788247946,2.9258064516128997,32.127741935483826
2,70.84169006347656,-3.9407947063446045,2,0.9588597091353822,-0.30000000000000426,31.82774193548382
2,70.9279556274414,-3.677499294281006,4,0.9583802792808146,-0.30000000000000426,31.527741935483817
2,70.962158203125,-3.573279857635498,1,0.9579010891411742,-0.30000000000000426,31.227741935483813
2,70.97936248779297,-3.519923448562622,4,0.9574221385966036,-0.30000000000000426,30.92774193548381
2,70.97948455810547,-3.5195541381835938,3,0.9569434275273054,-0.30000000000000426,30.627741935483805
2,70.99620819091797,-3.4688973426818848,0,0.9564649558135419,3.5109677419354797,34.138709677419286
2,71.04239654541016,-3.3289449214935303,2,0.9559867233356352,-0.30000000000000426,33.83870967741928
2,71.089111328125,-3.188241481781006,3,0.9555087299739674,-0.30000000000000426,33.53870967741928
2,71.11788940429688,-3.103649377822876,4,0.9550309756089804,-0.30000000000000426,33.23870967741927
2,71.1183090209961,-3.1024041175842285,4,0.954553460121176,-0.30000000000000426,32.93870967741927
2,71.1350326538086,-3.051882028579712,0,0.9540761833911156,-0.30000000000000426,32.638709677419264
2,71.18132781982422,-2.912050247192383,2,0.95359914529942,-0.30000000000000426,32.33870967741926
2,71.21102905273438,-2.8223495483398438,4,0.9531223457267703,-0.30000000000000426,32.038709677419256
2,71.21195220947266,-2.8195700645446777,2,0.952645784553907,-0.30000000000000426,31.73870967741925
2,71.21265411376953,-2.8175270557403564,3,0.9521694616616301,-0.30000000000000426,31.438709677419247
2,71.2298355102539,-2.7661099433898926,0,0.9516933769307994,-0.30000000000000426,31.138709677419243
2,71.27657318115234,-2.625673294067383,3,0.951217530242334,-0.30000000000000426,30.83870967741924
2,71.30679321289062,-2.536005735397339,4,0.9507419214772129,-0.30000000000000426,30.538709677419234
2,71.3077163696289,-2.533238172531128,2,0.9502665505164744,-0.30000000000000426,30.23870967741923
2,71.30838012695312,-2.53119158744812,1,0.9497914172412162,-0.30000000000000426,29.938709677419226
2,71.30892181396484,-2.5291168689727783,2,0.9493165215325956,-0.30000000000000426,29.63870967741922
