Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,0.042839732486754656,1
1,0.035634056,0.030756354,-0.005168218,-0.020587917,0,1.0,-0.40640593506395817,2
1,0.036249183,-0.1642911,-0.0055799764,0.27045992,0,1.0,-0.04117581993341446,3
1,0.032963358,0.030910034,-0.00017077847,-0.023977738,1,1.0,0.5409197881817818,4
1,0.03358156,0.22603443,-0.0006503332,-0.31671456,1,1.0,-0.047955469926819205,5
1,0.03810225,0.030921752,-0.006984624,-0.024236778,0,1.0,-0.6334290839731693,6
1,0.038720682,0.22614317,-0.00746936,-0.31911522,1,1.0,-0.04847357049584389,7
1,0.043243546,0.031128388,-0.013851664,-0.028797185,0,1.0,-0.638230424374342,8
1,0.043866117,-0.16379221,-0.014427608,0.2594834,0,1.0,-0.057594384998083115,9
1,0.04059027,0.0315327,-0.0092379395,-0.03771504,1,1.0,0.5189668387174606,10
1,0.041220926,0.2267859,-0.009992241,-0.33329827,1,1.0,-0.07543014362454414,11
1,0.04575664,0.031807583,-0.016658206,-0.043783054,0,1.0,-0.6665964610874653,12
1,0.046392795,0.2271644,-0.017533867,-0.3416749,1,1.0,-0.08756611496210098,13
1,0.050936084,0.03229624,-0.024367364,-0.05457229,0,1.0,-0.6833497434854507,14
1,0.05158201,-0.162468,-0.02545881,0.23032404,0,1.0,-0.1091446727514267,15
1,0.048332646,-0.35721707,-0.02085233,0.5148689,0,1.0,0.46064816415309906,16
1,0.041188307,-0.55203927,-0.010554952,0.8009085,0,1.0,1.0297377593815327,17
1,0.03014752,-0.35677412,0.0054632183,0.50492406,1,1.0,0.5091733299195766,18
1,0.023012038,-0.1617296,0.015561699,0.21396779,1,1.0,-1.0098480619490147,19
1,0.019777447,-0.35707054,0.019841054,0.51151866,0,1.0,-0.42793555185198784,20
1,0.012636036,-0.1622336,0.030071428,0.22515368,1,1.0,-1.0230373591184616,21
1,0.009391364,0.032445945,0.0345745,-0.05789395,1,1.0,-0.45030731707811356,22
1,0.010040282,0.22705553,0.03341662,-0.339471,1,1.0,0.11578798294067383,23
1,0.014581393,0.031474434,0.026627203,-0.03644047,0,1.0,0.6789417937397957,24
1,0.015210882,-0.16401903,0.025898393,0.26452327,0,1.0,0.07288102060556412,25
1,0.011930501,-0.35950089,0.031188859,0.56526095,0,1.0,-0.529046542942524,26
1,0.0047404836,-0.16483006,0.042494077,0.2825648,1,1.0,-1.1305218562483788,27
1,0.0014438821,-0.36053157,0.048145372,0.58834153,0,1.0,-0.5651295185089111,28
1,-0.005766749,-0.16611572,0.059912205,0.31120497,1,1.0,-1.1766832321882248,29
1,-0.009089063,-0.36203778,0.0661363,0.6221644,0,1.0,-0.6224095821380615,30
1,-0.01632982,-0.16789864,0.07857959,0.35102227,1,1.0,-1.2443289160728455,31
1,-0.019687792,-0.36404502,0.08560004,0.6674126,0,1.0,-0.7020451128482819,32
1,-0.026968693,-0.17021124,0.09894829,0.40286216,1,0.999,-1.3348251581192017,33
